TIME,PLAKA,IL,NUTS3,StuQur,StaffDiy,Mosque,Pilgrimage,hedu,kurdpop,growth
2011,40,Kirsehir,TR715,0.608103522,260.615795,96.82600728,0.495728366,9.12,6.61,12.06107869
2011,41,Kocaeli,TR421,0.701495892,94.273656,68.98833754,0.473889876,10.89,7.94,10.09390564
2011,42,Konya,TR521,0.614700118,185.180189,149.4195643,0.836141589,8.7,5.680227273,9.452111044
2011,43,Kutahya,TR333,0.445181688,255.376916,209.8308593,0.70584951,7.5,0.03,7.40059084
2011,44,Malatya,TRB11,0.551897933,152.388743,121.3832412,0.448837454,9.87,17.2,10.46235059
2011,45,Manisa,TR331,0.413633874,149.842471,123.2767743,0.439179742,7.62,3.48,8.380883283
2011,46,KMaras,TR632,0.526650288,136.879749,120.4693562,0.363354506,6.82,15.37,6.982039209
2011,47,Mardin,TRC31,0.137690388,117.272421,132.847665,0.212691301,5.37,74.84,18.32381288
2011,48,Mugla,TR323,0.183699858,134.196325,126.9199021,0.236000596,11.5,2.06,6.041245268
2011,49,Mus,TRB22,0.258014111,127.801382,134.794288,0.223684204,4.92,67.75,13.54300149
2011,50,Nevsehir,TR714,1.106807839,245.015834,172.9938887,0.656264125,7.77,2.1,10.02012639
2011,51,Nigde,TR713,0.833943114,177.453615,119.0924092,0.514698359,7.61,3.198054946,10.55957942
2011,52,Ordu,TR902,0.565377455,273.380087,280.3790647,0.354671522,7.18,0.04,9.948673664
2011,53,Rize,TR904,1.037422758,359.429371,320.1119463,0.805470874,9.01,0.06,7.140961198
2011,54,Sakarya,TR422,0.76371101,183.668784,140.2275152,0.662584398,8.41,2.82,6.229826727
2011,55,Samsun,TR831,0.603245591,246.459098,209.3903712,0.515376717,8.76,0.58,8.2152089
2011,56,Siirt,TRC34,0.577515235,180.694951,337.8770115,0.294981809,6.23,78.78,10.27861222
2011,57,Sinop,TR823,0.306855738,486.634783,648.682195,0.294876929,8.03,0.8,11.42806861
2011,58,Sivas,TR722,0.664214998,240.010462,92.81467684,0.550506547,8.86,11.72,10.38251308
2011,59,Tekirdag,TR211,0.244254241,71.456717,58.80417847,0.319852157,9.28,3.3,9.584475634
2011,60,Tokat,TR832,0.513892017,223.081083,187.5722301,0.463417463,7.63,1.71,6.922291069
2011,61,Trabzon,TR901,0.965335847,302.897064,253.1184269,0.589863303,11.01,0.04,8.292833812
2011,62,Tunceli,TRB14,0.137546731,121.088147,137.5467306,0.140974798,10.19,55.9,14.75964829
